1,,,,,,
2,551.65,551.65,551.65,551.65,551.65,551.65
3,169.64,169.64,169.64,169.64,169.64,169.64
4,154.31,154.31,154.31,154.31,154.31,154.31
5,130.22,130.22,130.22,130.22,130.22,130.22
6,151.16,151.16,151.16,151.16,151.16,151.16
7,138.68,138.68,138.68,138.68,138.68,138.68
8,107.93,107.93,107.93,107.93,107.93,107.93
9,93.24,93.24,93.24,93.24,93.24,93.24
10,79.77,79.77,79.77,79.77,79.77,79.77
11,62.48,62.48,62.48,62.48,62.48,62.48
12,54.51,54.51,54.51,54.51,54.51,54.51
13,50.75,50.75,50.75,50.75,50.75,50.75
14,49.28,49.28,49.28,49.28,49.28,49.28
15,33.86,33.86,33.86,33.86,33.86,33.86
16,22.77,22.77,22.77,22.77,22.77,22.77
17,21.09,21.09,21.09,21.09,21.09,21.09
18,16.47,16.47,16.47,16.47,16.47,16.47
19,16.51,16.51,16.51,16.51,16.51,16.51
20,11.75,11.75,11.75,11.75,11.75,11.75
