1,,,,,,
2,551.652,551.652,551.652,551.652,551.652,551.652
3,169.642,169.642,169.642,169.642,169.642,169.642
4,154.313,154.313,154.313,154.313,154.313,154.313
5,130.219,130.219,130.219,130.219,130.219,130.219
6,151.162,151.162,151.162,151.162,151.162,151.162
7,138.683,138.683,138.683,138.683,138.683,138.683
8,107.934,107.934,107.934,107.934,107.934,107.934
9,93.2377,93.2377,93.2377,93.2377,93.2377,93.2377
10,79.7747,79.7747,79.7747,79.7747,79.7747,79.7747
11,62.4844,62.4844,62.4844,62.4844,62.4844,62.4844
12,54.5129,54.5129,54.5129,54.5129,54.5129,54.5129
13,50.7515,50.7515,50.7515,50.7515,50.7515,50.7515
14,49.2763,49.2763,49.2763,49.2763,49.2763,49.2763
15,33.8642,33.8642,33.8642,33.8642,33.8642,33.8642
16,22.7685,22.7685,22.7685,22.7685,22.7685,22.7685
17,21.0858,21.0858,21.0858,21.0858,21.0858,21.0858
18,16.4722,16.4722,16.4722,16.4722,16.4722,16.4722
19,16.5149,16.5149,16.5149,16.5149,16.5149,16.5149
20,11.7458,11.7458,11.7458,11.7458,11.7458,11.7458
