1,,,,,,
2,137.33,136.67,149.33,76.33,223.33,180.33
3,183.00,197.67,213.00,95.00,314.00,248.00
4,205.33,230.67,255.33,98.00,372.33,270.67
5,217.33,248.67,291.67,100.67,416.33,270.67
6,213.67,253.00,311.33,96.33,434.67,240.00
7,204.00,242.67,288.33,93.33,453.33,217.67
8,180.67,218.33,233.33,85.67,466.33,196.33
9,150.33,199.33,164.67,75.67,467.33,174.67
10,115.33,183.33,128.00,63.67,428.00,153.67
11,78.67,179.67,109.67,51.33,359.33,129.00
12,51.33,176.00,96.00,41.00,287.00,110.00
13,36.00,178.00,83.00,34.00,238.00,89.33
14,30.33,163.67,68.67,28.33,198.33,72.33
15,23.33,132.33,50.67,21.33,149.33,52.67
16,16.00,85.00,31.67,14.00,98.00,33.67
17,8.33,39.33,14.33,6.67,46.67,15.67
18,3.33,10.67,4.67,2.33,16.33,5.33
19,0.33,0.00,0.00,0.00,0.00,0.00
20,,,,,,
