1,,,,,,
2,137.3333333,136.6666667,149.3333333,76.33333333,223.3333333,180.3333333
3,183,197.6666667,213,95,314,248
4,205.3333333,230.6666667,255.3333333,98,372.3333333,270.6666667
5,217.3333333,248.6666667,291.6666667,100.6666667,416.3333333,270.6666667
6,213.6666667,253,311.3333333,96.33333333,434.6666667,240
7,204,242.6666667,288.3333333,93.33333333,453.3333333,217.6666667
8,180.6666667,218.3333333,233.3333333,85.66666667,466.3333333,196.3333333
9,150.3333333,199.3333333,164.6666667,75.66666667,467.3333333,174.6666667
10,115.3333333,183.3333333,128,63.66666667,428,153.6666667
11,78.66666667,179.6666667,109.6666667,51.33333333,359.3333333,129
12,51.33333333,176,96,41,287,110
13,36,178,83,34,238,89.33333333
14,30.33333333,163.6666667,68.66666667,28.33333333,198.3333333,72.33333333
15,23.33333333,132.3333333,50.66666667,21.33333333,149.3333333,52.66666667
16,16,85,31.66666667,14,98,33.66666667
17,8.333333333,39.33333333,14.33333333,6.666666667,46.66666667,15.66666667
18,3.333333333,10.66666667,4.666666667,2.333333333,16.33333333,5.333333333
19,0.333333333,0,0,0,0,0
20,,,,,,
