1,83,,,1,1.92,,,1,2.428571429,,,1,,
2,144,137.3333333,,2,1.76,1.626666667,,2,3.125,4.101190476,,2,551.652,551.652
3,185,183,,3,1.2,1.395757576,,3,6.75,4.558333333,,3,169.642,169.642
4,220,205.3333333,,4,1.227272727,1.195055821,,4,3.8,5.583333333,,4,154.313,154.313
5,211,217.3333333,,5,1.157894737,1.195055821,,5,6.2,5.916666667,,5,130.219,130.219
6,221,213.6666667,,6,1.2,1.119298246,,6,7.75,7.066666667,,6,151.162,151.162
7,209,204,,7,1,1.007843137,,7,7.25,6.208333333,,7,138.683,138.683
8,182,180.6666667,,8,0.823529412,0.917366947,,8,3.625,4.720238095,,8,107.934,107.934
9,151,150.3333333,,9,0.928571429,0.845938375,,9,3.285714286,3.044312169,,9,93.2377,93.2377
10,118,115.3333333,,10,0.785714286,0.776556777,,10,2.222222222,2.377645503,,10,79.7747,79.7747
11,77,78.66666667,,11,0.615384615,0.657509158,,11,1.625,1.615740741,,11,62.4844,62.4844
12,41,51.33333333,,12,0.571428571,0.600732601,,12,1,1.208333333,,12,54.5129,54.5129
13,36,36,,13,0.615384615,0.600732601,,13,1,1,,13,50.7515,50.7515
14,31,30.33333333,,14,0.615384615,0.51025641,,14,1,1,,14,49.2763,49.2763
15,24,23.33333333,,15,0.3,0.365734266,,15,1,1,,15,33.8642,33.8642
16,15,16,,16,0.181818182,0.293939394,,16,1,1,,16,22.7685,22.7685
17,9,8.333333333,,17,0.4,0.260606061,,17,1,1,,17,21.0858,21.0858
18,1,3.333333333,,18,0.2,0.466666667,,18,#DIV/0!,1,,18,16.4722,16.4722
19,0,0.333333333,,19,0.8,0.666666667,,19,1,1,,19,16.5149,16.5149
20,0,,,20,1,,,20,1,,,20,11.7458,11.7458
